PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_LL_MISS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
46235397,109559880,6,31,35,6,0,
46336816,109624283,9,76,171,9,0,
46219436,109474959,10,40,27,10,0,
46247496,109597975,4,27,30,4,0,
46263395,109565935,9,41,39,9,0,
46238830,109550579,3,24,32,3,0,
46266467,109559839,8,104,123,8,0,
46264436,109571613,9,42,37,9,0,
46280105,109602819,10,41,54,10,0,
46238487,109560369,9,39,33,9,0,
46247078,109559456,7,37,34,7,0,
46205870,109544667,4,23,38,4,0,
46253578,109561712,8,38,35,8,0,
46240329,109562349,8,41,33,8,0,
46252057,109562417,8,38,43,8,0,
46257857,109572517,8,37,60,8,0,
46254744,109566131,7,34,26,7,0,
46247359,109563363,8,36,42,8,0,
46271399,109567097,9,48,38,9,0,
46248831,109562153,7,39,32,7,0,
46241243,109558168,8,37,31,8,0,
46251944,109567519,7,39,30,7,0,
46216711,109552157,6,34,40,6,0,
46307422,109613595,9,39,38,9,0,
46250494,109564694,8,40,55,8,0,
46252678,109560501,7,37,39,7,0,
46241082,109555514,7,38,35,7,0,
46222650,109513846,6,33,38,6,0,
46244241,109559201,8,39,38,8,0,
46270689,109558197,8,43,24,8,0,
46243305,109557016,8,37,38,8,0,
46233224,109549092,6,30,27,6,0,
46222675,109517048,8,36,34,8,0,
46224555,109563052,7,35,40,7,0,
46267568,109572897,9,42,27,9,0,
46238064,109545570,4,25,33,4,0,
46263438,109566935,7,37,50,7,0,
46279038,109602573,8,39,44,8,0,
46261780,109566309,6,33,39,6,0,
46205131,109600801,10,41,35,10,0,
46260529,109566248,10,41,39,10,0,
46258155,109562756,10,40,46,10,0,
46264014,109604726,10,40,38,10,0,
46241627,109559552,7,37,32,7,0,
46225146,109556809,6,36,40,6,0,
46243327,109561855,8,38,22,8,0,
46244283,109601576,8,37,15,8,0,
46246279,109560129,7,38,39,7,0,
46275011,109605720,9,37,37,9,0,
46309668,109606905,9,40,23,9,0,
46223727,109544822,4,24,20,4,0,
46235657,109561855,4,29,34,4,0,
46273524,109568887,10,42,44,10,0,
46276951,109610173,9,41,37,9,0,
46224305,109554384,3,26,43,3,0,
46236095,109557630,8,34,46,8,0,
64534294,133932728,7,2949,37719,7,0,
46297579,109572799,9,49,78,9,0,
46256960,109590645,3,30,29,3,0,
46275585,109563334,9,41,73,9,0,
46263649,109604540,6,33,58,6,0,
46271196,109564572,9,41,69,9,0,
46261820,109566937,9,40,59,9,0,
46259326,109561510,8,39,35,8,0,
46239561,109559038,6,30,42,6,0,
46285059,109609069,8,38,43,8,0,
46243676,109564056,6,33,36,6,0,
46282422,109560986,9,38,62,9,0,
46177756,109500100,1,18,21,1,0,
46243679,109556483,8,34,32,8,0,
46299962,109567627,10,42,37,10,0,
46242610,109557588,6,32,38,6,0,
46284904,109605818,9,43,28,9,0,
46243889,109563757,8,41,43,8,0,
46257952,109564474,8,38,35,8,0,
46273117,109603196,5,28,22,5,0,
46243503,109551853,7,34,37,7,0,
46269252,109567551,7,36,32,7,0,
46235223,109474585,10,40,52,10,0,
46253821,109565818,10,46,34,10,0,
46230086,109513107,7,42,35,7,0,
46276846,109562818,9,45,32,9,0,
46228687,109550727,8,39,32,8,0,
46210647,109509360,4,30,45,4,0,
46243484,109560352,7,38,40,7,0,
46255945,109562141,11,43,33,11,0,
46240866,109567513,7,38,25,7,0,
46241897,109565187,7,37,42,7,0,
46266178,109566121,7,36,51,7,0,
46264751,109602108,8,39,31,8,0,
46310713,109615318,9,43,41,9,0,
46248686,109554967,7,35,26,7,0,
46266419,109567958,8,41,32,8,0,
46252210,109599455,7,35,27,7,0,
46270961,109610344,10,41,30,10,0,
46251312,109557076,8,36,21,8,0,
46290109,109573148,8,47,58,8,0,
46221627,109553372,3,29,47,3,0,
46267220,109600049,7,37,38,7,0,
46275716,109553065,3,119,84,3,0,
46281696,109605230,8,44,56,8,0,
46283534,109574546,10,47,60,10,0,
46285697,109556830,8,41,46,8,0,
46269451,109570613,7,44,50,7,0,
46086444,109506861,8,37,43,8,0,
46259896,109574288,8,45,48,8,0,
46231586,109556194,8,41,27,8,0,
46256742,109571920,8,41,35,8,0,
46246184,109559228,10,40,32,10,0,
46242839,109560678,7,38,28,7,0,
46252382,109560649,7,36,28,7,0,
46259162,109566842,9,40,43,9,0,
46279259,109563689,9,43,36,9,0,
46322061,109655413,10,43,33,10,0,
46242687,109560212,7,37,17,7,0,
46242740,109558810,6,33,26,6,0,
46247886,109562723,8,37,22,8,0,
46339359,109566167,7,36,91,7,0,
46256632,109571051,4,74,181,4,0,
46254385,109561493,7,38,39,7,0,
46274824,109557382,8,39,35,8,0,
46226411,109513158,6,33,44,6,0,
